Round,Winner,Loser,Games,YR
Western Conference Finals,Los Angeles Lakers,Sacramento Kings,7,2002
Eastern Conference Semifinals,Boston Celtics,Detroit Pistons,5,2002
Eastern Conference Semifinals,New Jersey Nets,Charlotte Hornets,5,2002
Western Conference Semifinals,Los Angeles Lakers,San Antonio Spurs,5,2002
Western Conference Semifinals,Sacramento Kings,Dallas Mavericks,5,2002
Eastern Conference First Round,Boston Celtics,Philadelphia 76ers,5,2002
Eastern Conference First Round,Charlotte Hornets,Orlando Magic,4,2002
Eastern Conference First Round,Detroit Pistons,Toronto Raptors,5,2002
Eastern Conference First Round,New Jersey Nets,Indiana Pacers,5,2002
Western Conference First Round,Dallas Mavericks,Minnesota Timberwolves,3,2002
Western Conference First Round,Los Angeles Lakers,Portland Trail Blazers,3,2002
Western Conference First Round,Sacramento Kings,Utah Jazz,4,2002
Western Conference First Round,San Antonio Spurs,Seattle SuperSonics,5,2002
Finals,Detroit Pistons,Los Angeles Lakers,5,2004
Eastern Conference Finals,Detroit Pistons,Indiana Pacers,6,2004
Western Conference Finals,Los Angeles Lakers,Minnesota Timberwolves,6,2004
Eastern Conference Semifinals,Detroit Pistons,New Jersey Nets,7,2004
Eastern Conference Semifinals,Indiana Pacers,Miami Heat,6,2004
Western Conference Semifinals,Los Angeles Lakers,San Antonio Spurs,6,2004
Western Conference Semifinals,Minnesota Timberwolves,Sacramento Kings,7,2004
Eastern Conference First Round,Detroit Pistons,Milwaukee Bucks,5,2004
Eastern Conference First Round,Indiana Pacers,Boston Celtics,4,2004
Eastern Conference First Round,Miami Heat,New Orleans Hornets,7,2004
Eastern Conference First Round,New Jersey Nets,New York Knicks,4,2004
Western Conference First Round,Los Angeles Lakers,Houston Rockets,5,2004
Western Conference First Round,Minnesota Timberwolves,Denver Nuggets,5,2004
Western Conference First Round,Sacramento Kings,Dallas Mavericks,5,2004
Western Conference First Round,San Antonio Spurs,Memphis Grizzlies,4,2004
Finals,San Antonio Spurs,New Jersey Nets,6,2003
Eastern Conference Finals,New Jersey Nets,Detroit Pistons,4,2003
Western Conference Finals,San Antonio Spurs,Dallas Mavericks,6,2003
Eastern Conference Semifinals,Detroit Pistons,Philadelphia 76ers,6,2003
Eastern Conference Semifinals,New Jersey Nets,Boston Celtics,4,2003
Western Conference Semifinals,Dallas Mavericks,Sacramento Kings,7,2003
Western Conference Semifinals,San Antonio Spurs,Los Angeles Lakers,6,2003
Eastern Conference First Round,Boston Celtics,Indiana Pacers,6,2003
Eastern Conference First Round,Detroit Pistons,Orlando Magic,7,2003
Eastern Conference First Round,New Jersey Nets,Milwaukee Bucks,6,2003
Eastern Conference First Round,Philadelphia 76ers,New Orleans Hornets,6,2003
Western Conference First Round,Dallas Mavericks,Portland Trail Blazers,7,2003
Western Conference First Round,Los Angeles Lakers,Minnesota Timberwolves,6,2003
Western Conference First Round,Sacramento Kings,Utah Jazz,5,2003
Western Conference First Round,San Antonio Spurs,Phoenix Suns,6,2003
Finals,San Antonio Spurs,Detroit Pistons,7,2005
Eastern Conference Finals,Detroit Pistons,Miami Heat,7,2005
Western Conference Finals,San Antonio Spurs,Phoenix Suns,5,2005
Eastern Conference Semifinals,Detroit Pistons,Indiana Pacers,6,2005
Eastern Conference Semifinals,Miami Heat,Washington Wizards,4,2005
Western Conference Semifinals,Phoenix Suns,Dallas Mavericks,6,2005
Western Conference Semifinals,San Antonio Spurs,Seattle SuperSonics,6,2005
Eastern Conference First Round,Detroit Pistons,Philadelphia 76ers,5,2005
Eastern Conference First Round,Indiana Pacers,Boston Celtics,7,2005
Eastern Conference First Round,Miami Heat,New Jersey Nets,4,2005
Eastern Conference First Round,Washington Wizards,Chicago Bulls,6,2005
Western Conference First Round,Dallas Mavericks,Houston Rockets,7,2005
Western Conference First Round,Phoenix Suns,Memphis Grizzlies,4,2005
Western Conference First Round,San Antonio Spurs,Denver Nuggets,5,2005
Western Conference First Round,Seattle SuperSonics,Sacramento Kings,5,2005
Finals,Miami Heat,Dallas Mavericks,6,2006
Eastern Conference Finals,Miami Heat,Detroit Pistons,6,2006
Western Conference Finals,Dallas Mavericks,Phoenix Suns,6,2006
Eastern Conference Semifinals,Detroit Pistons,Cleveland Cavaliers,7,2006
Eastern Conference Semifinals,Miami Heat,New Jersey Nets,5,2006
Western Conference Semifinals,Dallas Mavericks,San Antonio Spurs,7,2006
Western Conference Semifinals,Phoenix Suns,Los Angeles Clippers,7,2006
Eastern Conference First Round,Cleveland Cavaliers,Washington Wizards,6,2006
Eastern Conference First Round,Detroit Pistons,Milwaukee Bucks,5,2006
Eastern Conference First Round,Miami Heat,Chicago Bulls,6,2006
Eastern Conference First Round,New Jersey Nets,Indiana Pacers,6,2006
Western Conference First Round,Dallas Mavericks,Memphis Grizzlies,4,2006
Western Conference First Round,Los Angeles Clippers,Denver Nuggets,5,2006
Western Conference First Round,Phoenix Suns,Los Angeles Lakers,7,2006
Western Conference First Round,San Antonio Spurs,Sacramento Kings,6,2006
Finals,San Antonio Spurs,Cleveland Cavaliers,4,2007
Eastern Conference Finals,Cleveland Cavaliers,Detroit Pistons,6,2007
Western Conference Finals,San Antonio Spurs,Utah Jazz,5,2007
Eastern Conference Semifinals,Cleveland Cavaliers,New Jersey Nets,6,2007
Eastern Conference Semifinals,Detroit Pistons,Chicago Bulls,6,2007
Western Conference Semifinals,San Antonio Spurs,Phoenix Suns,6,2007
Western Conference Semifinals,Utah Jazz,Golden State Warriors,5,2007
Eastern Conference First Round,Chicago Bulls,Miami Heat,4,2007
Eastern Conference First Round,Cleveland Cavaliers,Washington Wizards,4,2007
Eastern Conference First Round,Detroit Pistons,Orlando Magic,4,2007
Eastern Conference First Round,New Jersey Nets,Toronto Raptors,6,2007
Western Conference First Round,Golden State Warriors,Dallas Mavericks,6,2007
Western Conference First Round,Phoenix Suns,Los Angeles Lakers,5,2007
Western Conference First Round,San Antonio Spurs,Denver Nuggets,5,2007
Western Conference First Round,Utah Jazz,Houston Rockets,7,2007
Finals,Los Angeles Lakers,Orlando Magic,5,2009
Eastern Conference Finals,Orlando Magic,Cleveland Cavaliers,6,2009
Western Conference Finals,Los Angeles Lakers,Denver Nuggets,6,2009
Eastern Conference Semifinals,Cleveland Cavaliers,Atlanta Hawks,4,2009
Eastern Conference Semifinals,Orlando Magic,Boston Celtics,7,2009
Western Conference Semifinals,Denver Nuggets,Dallas Mavericks,5,2009
Western Conference Semifinals,Los Angeles Lakers,Houston Rockets,7,2009
Eastern Conference First Round,Atlanta Hawks,Miami Heat,7,2009
Eastern Conference First Round,Boston Celtics,Chicago Bulls,7,2009
Eastern Conference First Round,Cleveland Cavaliers,Detroit Pistons,4,2009
Eastern Conference First Round,Orlando Magic,Philadelphia 76ers,6,2009
Western Conference First Round,Dallas Mavericks,San Antonio Spurs,5,2009
Western Conference First Round,Denver Nuggets,New Orleans Hornets,5,2009
Western Conference First Round,Houston Rockets,Portland Trail Blazers,6,2009
Western Conference First Round,Los Angeles Lakers,Utah Jazz,5,2009
Finals,Boston Celtics,Los Angeles Lakers,6,2008
Eastern Conference Finals,Boston Celtics,Detroit Pistons,6,2008
Western Conference Finals,Los Angeles Lakers,San Antonio Spurs,5,2008
Eastern Conference Semifinals,Boston Celtics,Cleveland Cavaliers,7,2008
Eastern Conference Semifinals,Detroit Pistons,Orlando Magic,5,2008
Western Conference Semifinals,Los Angeles Lakers,Utah Jazz,6,2008
Western Conference Semifinals,San Antonio Spurs,New Orleans Hornets,7,2008
Eastern Conference First Round,Boston Celtics,Atlanta Hawks,7,2008
Eastern Conference First Round,Cleveland Cavaliers,Washington Wizards,6,2008
Eastern Conference First Round,Detroit Pistons,Philadelphia 76ers,6,2008
Eastern Conference First Round,Orlando Magic,Toronto Raptors,5,2008
Western Conference First Round,Los Angeles Lakers,Denver Nuggets,4,2008
Western Conference First Round,New Orleans Hornets,Dallas Mavericks,5,2008
Western Conference First Round,San Antonio Spurs,Phoenix Suns,5,2008
Western Conference First Round,Utah Jazz,Houston Rockets,6,2008
Finals,Los Angeles Lakers,Boston Celtics,7,2010
Eastern Conference Finals,Boston Celtics,Orlando Magic,6,2010
Western Conference Finals,Los Angeles Lakers,Phoenix Suns,6,2010
Eastern Conference Semifinals,Boston Celtics,Cleveland Cavaliers,6,2010
Eastern Conference Semifinals,Orlando Magic,Atlanta Hawks,4,2010
Western Conference Semifinals,Los Angeles Lakers,Utah Jazz,4,2010
Western Conference Semifinals,Phoenix Suns,San Antonio Spurs,4,2010
Eastern Conference First Round,Atlanta Hawks,Milwaukee Bucks,7,2010
Eastern Conference First Round,Boston Celtics,Miami Heat,5,2010
Eastern Conference First Round,Cleveland Cavaliers,Chicago Bulls,5,2010
Eastern Conference First Round,Orlando Magic,Charlotte Bobcats,4,2010
Western Conference First Round,Los Angeles Lakers,Oklahoma City Thunder,6,2010
Western Conference First Round,Phoenix Suns,Portland Trail Blazers,6,2010
Western Conference First Round,San Antonio Spurs,Dallas Mavericks,6,2010
Western Conference First Round,Utah Jazz,Denver Nuggets,6,2010
Finals,Dallas Mavericks,Miami Heat,6,2011
Eastern Conference Finals,Miami Heat,Chicago Bulls,5,2011
Western Conference Finals,Dallas Mavericks,Oklahoma City Thunder,5,2011
Eastern Conference Semifinals,Chicago Bulls,Atlanta Hawks,6,2011
Eastern Conference Semifinals,Miami Heat,Boston Celtics,5,2011
Western Conference Semifinals,Dallas Mavericks,Los Angeles Lakers,4,2011
Western Conference Semifinals,Oklahoma City Thunder,Memphis Grizzlies,7,2011
Eastern Conference First Round,Atlanta Hawks,Orlando Magic,6,2011
Eastern Conference First Round,Boston Celtics,New York Knicks,4,2011
Eastern Conference First Round,Chicago Bulls,Indiana Pacers,5,2011
Eastern Conference First Round,Miami Heat,Philadelphia 76ers,5,2011
Western Conference First Round,Dallas Mavericks,Portland Trail Blazers,6,2011
Western Conference First Round,Los Angeles Lakers,New Orleans Hornets,6,2011
Western Conference First Round,Memphis Grizzlies,San Antonio Spurs,6,2011
Western Conference First Round,Oklahoma City Thunder,Denver Nuggets,5,2011
Finals,Miami Heat,Oklahoma City Thunder,5,2012
Eastern Conference Finals,Miami Heat,Boston Celtics,7,2012
Western Conference Finals,Oklahoma City Thunder,San Antonio Spurs,6,2012
Eastern Conference Semifinals,Boston Celtics,Philadelphia 76ers,7,2012
Eastern Conference Semifinals,Miami Heat,Indiana Pacers,6,2012
Western Conference Semifinals,Oklahoma City Thunder,Los Angeles Lakers,5,2012
Western Conference Semifinals,San Antonio Spurs,Los Angeles Clippers,4,2012
Eastern Conference First Round,Boston Celtics,Atlanta Hawks,6,2012
Eastern Conference First Round,Indiana Pacers,Orlando Magic,5,2012
Eastern Conference First Round,Miami Heat,New York Knicks,5,2012
Eastern Conference First Round,Philadelphia 76ers,Chicago Bulls,6,2012
Western Conference First Round,Los Angeles Clippers,Memphis Grizzlies,7,2012
Western Conference First Round,Los Angeles Lakers,Denver Nuggets,7,2012
Western Conference First Round,Oklahoma City Thunder,Dallas Mavericks,4,2012
Western Conference First Round,San Antonio Spurs,Utah Jazz,4,2012
Finals,Miami Heat,San Antonio Spurs,7,2013
Eastern Conference Finals,Miami Heat,Indiana Pacers,7,2013
Western Conference Finals,San Antonio Spurs,Memphis Grizzlies,4,2013
Eastern Conference Semifinals,Indiana Pacers,New York Knicks,6,2013
Eastern Conference Semifinals,Miami Heat,Chicago Bulls,5,2013
Western Conference Semifinals,Memphis Grizzlies,Oklahoma City Thunder,5,2013
Western Conference Semifinals,San Antonio Spurs,Golden State Warriors,6,2013
Eastern Conference First Round,Chicago Bulls,Brooklyn Nets,7,2013
Eastern Conference First Round,Indiana Pacers,Atlanta Hawks,6,2013
Eastern Conference First Round,Miami Heat,Milwaukee Bucks,4,2013
Eastern Conference First Round,New York Knicks,Boston Celtics,6,2013
Western Conference First Round,Golden State Warriors,Denver Nuggets,6,2013
Western Conference First Round,Memphis Grizzlies,Los Angeles Clippers,6,2013
Western Conference First Round,Oklahoma City Thunder,Houston Rockets,6,2013
Western Conference First Round,San Antonio Spurs,Los Angeles Lakers,4,2013
Finals,San Antonio Spurs,Miami Heat,5,2014
Eastern Conference Finals,Miami Heat,Indiana Pacers,6,2014
Western Conference Finals,San Antonio Spurs,Oklahoma City Thunder,6,2014
Eastern Conference Semifinals,Indiana Pacers,Washington Wizards,6,2014
Eastern Conference Semifinals,Miami Heat,Brooklyn Nets,5,2014
Western Conference Semifinals,Oklahoma City Thunder,Los Angeles Clippers,6,2014
Western Conference Semifinals,San Antonio Spurs,Portland Trail Blazers,5,2014
Eastern Conference First Round,Brooklyn Nets,Toronto Raptors,7,2014
Eastern Conference First Round,Indiana Pacers,Atlanta Hawks,7,2014
Eastern Conference First Round,Miami Heat,Charlotte Bobcats,4,2014
Eastern Conference First Round,Washington Wizards,Chicago Bulls,5,2014
Western Conference First Round,Los Angeles Clippers,Golden State Warriors,7,2014
Western Conference First Round,Oklahoma City Thunder,Memphis Grizzlies,7,2014
Western Conference First Round,Portland Trail Blazers,Houston Rockets,6,2014
Western Conference First Round,San Antonio Spurs,Dallas Mavericks,7,2014
Finals,Golden State Warriors,Cleveland Cavaliers,6,2015
Eastern Conference Finals,Cleveland Cavaliers,Atlanta Hawks,4,2015
Western Conference Finals,Golden State Warriors,Houston Rockets,5,2015
Eastern Conference Semifinals,Atlanta Hawks,Washington Wizards,6,2015
Eastern Conference Semifinals,Cleveland Cavaliers,Chicago Bulls,6,2015
Western Conference Semifinals,Golden State Warriors,Memphis Grizzlies,6,2015
Western Conference Semifinals,Houston Rockets,Los Angeles Clippers,7,2015
Eastern Conference First Round,Atlanta Hawks,Brooklyn Nets,6,2015
Eastern Conference First Round,Chicago Bulls,Milwaukee Bucks,6,2015
Eastern Conference First Round,Cleveland Cavaliers,Boston Celtics,4,2015
Eastern Conference First Round,Washington Wizards,Toronto Raptors,4,2015
Western Conference First Round,Golden State Warriors,New Orleans Pelicans,4,2015
Western Conference First Round,Houston Rockets,Dallas Mavericks,5,2015
Western Conference First Round,Los Angeles Clippers,San Antonio Spurs,7,2015
Western Conference First Round,Memphis Grizzlies,Portland Trail Blazers,5,2015
Finals,Cleveland Cavaliers,Golden State Warriors,7,2016
Eastern Conference Finals,Cleveland Cavaliers,Toronto Raptors,6,2016
Western Conference Finals,Golden State Warriors,Oklahoma City Thunder,7,2016
Eastern Conference Semifinals,Cleveland Cavaliers,Atlanta Hawks,4,2016
Eastern Conference Semifinals,Toronto Raptors,Miami Heat,7,2016
Western Conference Semifinals,Golden State Warriors,Portland Trail Blazers,5,2016
Western Conference Semifinals,Oklahoma City Thunder,San Antonio Spurs,6,2016
Eastern Conference First Round,Atlanta Hawks,Boston Celtics,6,2016
Eastern Conference First Round,Cleveland Cavaliers,Detroit Pistons,4,2016
Eastern Conference First Round,Miami Heat,Charlotte Hornets,7,2016
Eastern Conference First Round,Toronto Raptors,Indiana Pacers,7,2016
Western Conference First Round,Golden State Warriors,Houston Rockets,5,2016
Western Conference First Round,Oklahoma City Thunder,Dallas Mavericks,5,2016
Western Conference First Round,Portland Trail Blazers,Los Angeles Clippers,6,2016
Western Conference First Round,San Antonio Spurs,Memphis Grizzlies,4,2016
Finals,Golden State Warriors,Cleveland Cavaliers,5,2017
Eastern Conference Finals,Cleveland Cavaliers,Boston Celtics,5,2017
Western Conference Finals,Golden State Warriors,San Antonio Spurs,4,2017
Eastern Conference Semifinals,Boston Celtics,Washington Wizards,7,2017
Eastern Conference Semifinals,Cleveland Cavaliers,Toronto Raptors,4,2017
Western Conference Semifinals,Golden State Warriors,Utah Jazz,4,2017
Western Conference Semifinals,San Antonio Spurs,Houston Rockets,6,2017
Eastern Conference First Round,Boston Celtics,Chicago Bulls,6,2017
Eastern Conference First Round,Cleveland Cavaliers,Indiana Pacers,4,2017
Eastern Conference First Round,Toronto Raptors,Milwaukee Bucks,6,2017
Eastern Conference First Round,Washington Wizards,Atlanta Hawks,6,2017
Western Conference First Round,Golden State Warriors,Portland Trail Blazers,4,2017
Western Conference First Round,Houston Rockets,Oklahoma City Thunder,5,2017
Western Conference First Round,San Antonio Spurs,Memphis Grizzlies,6,2017
Western Conference First Round,Utah Jazz,Los Angeles Clippers,7,2017
Finals,Toronto Raptors,Golden State Warriors,6,2019
Eastern Conference Finals,Toronto Raptors,Milwaukee Bucks,6,2019
Western Conference Finals,Golden State Warriors,Portland Trail Blazers,4,2019
Eastern Conference Semifinals,Milwaukee Bucks,Boston Celtics,5,2019
Eastern Conference Semifinals,Toronto Raptors,Philadelphia 76ers,7,2019
Western Conference Semifinals,Golden State Warriors,Houston Rockets,6,2019
Western Conference Semifinals,Portland Trail Blazers,Denver Nuggets,7,2019
Eastern Conference First Round,Boston Celtics,Indiana Pacers,4,2019
Eastern Conference First Round,Milwaukee Bucks,Detroit Pistons,4,2019
Eastern Conference First Round,Philadelphia 76ers,Brooklyn Nets,5,2019
Eastern Conference First Round,Toronto Raptors,Orlando Magic,5,2019
Western Conference First Round,Denver Nuggets,San Antonio Spurs,7,2019
Western Conference First Round,Golden State Warriors,Los Angeles Clippers,6,2019
Western Conference First Round,Houston Rockets,Utah Jazz,5,2019
Western Conference First Round,Portland Trail Blazers,Oklahoma City Thunder,5,2019
Finals,Golden State Warriors,Cleveland Cavaliers,4,2018
Eastern Conference Finals,Cleveland Cavaliers,Boston Celtics,7,2018
Western Conference Finals,Golden State Warriors,Houston Rockets,7,2018
Eastern Conference Semifinals,Boston Celtics,Philadelphia 76ers,5,2018
Eastern Conference Semifinals,Cleveland Cavaliers,Toronto Raptors,4,2018
Western Conference Semifinals,Golden State Warriors,New Orleans Pelicans,5,2018
Western Conference Semifinals,Houston Rockets,Utah Jazz,5,2018
Eastern Conference First Round,Boston Celtics,Milwaukee Bucks,7,2018
Eastern Conference First Round,Cleveland Cavaliers,Indiana Pacers,7,2018
Eastern Conference First Round,Philadelphia 76ers,Miami Heat,5,2018
Eastern Conference First Round,Toronto Raptors,Washington Wizards,6,2018
Western Conference First Round,Golden State Warriors,San Antonio Spurs,5,2018
Western Conference First Round,Houston Rockets,Minnesota Timberwolves,5,2018
Western Conference First Round,New Orleans Pelicans,Portland Trail Blazers,4,2018
Western Conference First Round,Utah Jazz,Oklahoma City Thunder,6,2018
